wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,date,menu_item,quantity,is_event_day,is_weekend
75,0,0,3,3,6,0,5,2024-03-18,75pc Pack,1,0,0
0,6,2,0,0,2,2,2,2024-03-18,3pc Tender Combo,2,0,0
20,0,2,0,0,2,2,4,2024-03-18,10pc Wing Combo,2,0,0
20,0,0,0,0,0,0,4,2024-03-18,10 Wings,2,0,0
150,0,0,6,6,12,0,12,2024-03-18,50pc Party Pack,3,0,0
30,0,0,2,2,4,4,4,2024-03-18,15pc Meal for 2,2,0,0
18,0,3,0,0,3,3,6,2024-03-18,6pc Wing Combo,3,0,0
20,0,2,0,0,2,2,4,2024-03-18,10pc Wing Combo,2,0,0
150,0,0,0,0,0,0,12,2024-03-18,50 Wings,3,0,0
45,0,0,3,3,6,6,6,2024-03-18,15pc Meal for 2,3,0,0
24,0,3,0,0,3,3,6,2024-03-18,8pc Wing Combo,3,0,0
50,0,0,2,2,4,0,4,2024-03-18,50pc Party Pack,1,0,0
30,0,0,2,2,4,4,4,2024-03-18,15pc Meal for 2,2,0,0
6,0,1,0,0,1,1,2,2024-03-18,6pc Wing Combo,1,0,0
30,0,0,2,2,4,4,4,2024-03-18,15pc Meal for 2,2,0,0
0,6,2,0,0,2,2,2,2024-03-18,3pc Tender Combo,2,0,0
0,3,1,0,0,1,1,1,2024-03-18,3pc Tender Combo,1,0,0
72,0,0,3,3,9,0,9,2024-03-18,24pc Family Pack,3,0,0
60,0,0,2,2,6,0,6,2024-03-18,30pc Crew Pack,2,0,0
0,6,2,0,0,2,2,2,2024-03-19,3pc Tender Combo,2,0,0
30,0,3,0,0,3,3,6,2024-03-19,10pc Wing Combo,3,0,0
0,8,0,1,1,2,2,2,2024-03-19,8pc Tender Meal for 2,1,0,0
0,5,1,0,0,1,1,1,2024-03-19,5pc Tender Combo,1,0,0
32,12,0,2,0,6,0,8,2024-03-19,Game Night Bundle,2,0,0
10,0,1,0,0,1,1,2,2024-03-19,10pc Wing Combo,1,0,0
0,8,0,1,1,2,2,2,2024-03-19,8pc Tender Meal for 2,1,0,0
18,0,3,0,0,3,3,6,2024-03-19,6pc Wing Combo,3,0,0
24,0,3,0,0,3,3,6,2024-03-19,8pc Wing Combo,3,0,0
6,0,1,0,0,1,1,2,2024-03-19,6pc Wing Combo,1,0,0
16,6,0,1,0,3,0,4,2024-03-19,Game Night Bundle,1,0,0
20,0,0,0,0,0,0,4,2024-03-19,10 Wings,2,0,0
20,0,0,0,0,0,0,4,2024-03-19,10 Wings,2,0,0
100,0,0,4,4,8,0,6,2024-03-19,100pc Pack,1,0,0
45,0,0,3,3,6,6,6,2024-03-19,15pc Meal for 2,3,0,0
8,0,1,0,0,1,1,2,2024-03-19,8pc Wing Combo,1,0,0
10,0,1,0,0,1,1,2,2024-03-19,10pc Wing Combo,1,0,0
72,0,0,3,3,9,0,9,2024-03-19,24pc Family Pack,3,0,0
0,72,0,6,6,12,0,12,2024-03-19,24pc Tender Pack,3,0,0
0,6,2,0,0,2,2,2,2024-03-19,3pc Tender Combo,2,0,0
12,0,2,0,0,2,2,4,2024-03-19,6pc Wing Combo,2,0,0
12,0,2,0,0,2,2,4,2024-03-19,6pc Wing Combo,2,0,0
12,0,2,0,0,2,2,4,2024-03-19,6pc Wing Combo,2,0,0
72,0,0,3,3,9,0,9,2024-03-19,24pc Family Pack,3,0,0
30,0,0,0,0,0,0,3,2024-03-19,30 Wings,1,0,0
0,10,2,0,0,2,2,2,2024-03-19,5pc Tender Combo,2,0,0
20,0,0,0,0,0,0,4,2024-03-19,10 Wings,2,0,0
150,0,0,6,6,12,0,12,2024-03-19,50pc Party Pack,3,0,0
72,0,0,3,3,9,0,9,2024-03-19,24pc Family Pack,3,0,0
6,0,1,0,0,1,1,2,2024-03-19,6pc Wing Combo,1,0,0
15,0,0,0,0,0,0,2,2024-03-19,15 Wings,1,0,0
30,0,0,0,0,0,0,6,2024-03-19,10 Wings,3,0,0
16,0,2,0,0,2,2,4,2024-03-19,8pc Wing Combo,2,0,0
200,0,0,8,8,16,0,12,2024-03-19,100pc Pack,2,0,0
100,0,0,4,4,8,0,8,2024-03-19,50pc Party Pack,2,0,0
0,5,1,0,0,1,1,1,2024-03-19,5pc Tender Combo,1,0,0
100,0,0,0,0,0,0,8,2024-03-19,50 Wings,2,0,0
0,6,2,0,0,2,2,2,2024-03-19,3pc Tender Combo,2,0,0
0,9,3,0,0,3,3,3,2024-03-19,3pc Tender Combo,3,0,0
12,0,2,0,0,2,2,4,2024-03-19,6pc Wing Combo,2,0,0
18,0,3,0,0,3,3,6,2024-03-19,6pc Wing Combo,3,0,0
16,0,2,0,0,2,2,4,2024-03-19,8pc Wing Combo,2,0,0
6,0,1,0,0,1,1,2,2024-03-19,6pc Wing Combo,1,0,0
0,32,0,2,2,6,0,6,2024-03-19,16pc Tender Pack,2,0,0
0,32,0,2,2,6,0,6,2024-03-19,16pc Tender Pack,2,0,0
24,0,3,0,0,3,3,6,2024-03-19,8pc Wing Combo,3,0,0
45,0,0,0,0,0,0,6,2024-03-19,15 Wings,3,0,0
24,0,3,0,0,3,3,6,2024-03-19,8pc Wing Combo,3,0,0
30,0,0,2,2,4,4,4,2024-03-19,15pc Meal for 2,2,0,0
60,0,0,0,0,0,0,6,2024-03-20,30 Wings,2,0,0
12,0,2,0,0,2,2,4,2024-03-20,6pc Wing Combo,2,0,0
100,0,0,0,0,0,0,8,2024-03-20,50 Wings,2,0,0
0,5,1,0,0,1,1,1,2024-03-20,5pc Tender Combo,1,0,0
18,0,3,0,0,3,3,6,2024-03-20,6pc Wing Combo,3,0,0
40,0,0,0,0,0,0,6,2024-03-20,20 Wings,2,0,0
0,3,1,0,0,1,1,1,2024-03-20,3pc Tender Combo,1,0,0
30,0,3,0,0,3,3,6,2024-03-20,10pc Wing Combo,3,0,0
0,72,0,6,6,12,0,12,2024-03-20,24pc Tender Pack,3,0,0
90,0,0,0,0,0,0,9,2024-03-20,30 Wings,3,0,0
100,0,0,4,4,8,0,8,2024-03-20,50pc Party Pack,2,0,0
30,0,0,2,2,4,4,4,2024-03-20,15pc Meal for 2,2,0,0
30,0,0,0,0,0,0,6,2024-03-20,10 Wings,3,0,0
0,24,0,3,3,6,6,6,2024-03-20,8pc Tender Meal for 2,3,0,0
60,0,0,0,0,0,0,9,2024-03-20,20 Wings,3,0,0
0,24,0,3,3,6,6,6,2024-03-20,8pc Tender Meal for 2,3,0,0
30,0,3,0,0,3,3,6,2024-03-20,10pc Wing Combo,3,0,0
90,0,0,0,0,0,0,9,2024-03-20,30 Wings,3,0,0
6,0,1,0,0,1,1,2,2024-03-20,6pc Wing Combo,1,0,0
30,0,3,0,0,3,3,6,2024-03-20,10pc Wing Combo,3,0,0
0,6,2,0,0,2,2,2,2024-03-20,3pc Tender Combo,2,0,0
0,6,2,0,0,2,2,2,2024-03-20,3pc Tender Combo,2,0,0
12,0,2,0,0,2,2,4,2024-03-20,6pc Wing Combo,2,0,0
30,0,0,0,0,0,0,6,2024-03-20,10 Wings,3,0,0
48,0,0,2,2,6,0,6,2024-03-20,24pc Family Pack,2,0,0
24,0,0,1,1,3,0,3,2024-03-20,24pc Family Pack,1,0,0
30,0,0,0,0,0,0,6,2024-03-20,10 Wings,3,0,0
48,0,0,2,2,6,0,6,2024-03-20,24pc Family Pack,2,0,0
6,0,1,0,0,1,1,2,2024-03-20,6pc Wing Combo,1,0,0
8,0,1,0,0,1,1,2,2024-03-20,8pc Wing Combo,1,0,0
12,0,2,0,0,2,2,4,2024-03-21,6pc Wing Combo,2,0,0
0,6,2,0,0,2,2,2,2024-03-21,3pc Tender Combo,2,0,0
40,0,0,0,0,0,0,6,2024-03-21,20 Wings,2,0,0
20,0,2,0,0,2,2,4,2024-03-21,10pc Wing Combo,2,0,0
45,0,0,3,3,6,6,6,2024-03-21,15pc Meal for 2,3,0,0
24,0,3,0,0,3,3,6,2024-03-21,8pc Wing Combo,3,0,0
72,0,0,3,3,9,0,9,2024-03-21,24pc Family Pack,3,0,0
18,0,3,0,0,3,3,6,2024-03-21,6pc Wing Combo,3,0,0
30,0,0,0,0,0,0,3,2024-03-21,30 Wings,1,0,0
0,16,0,2,2,4,4,4,2024-03-21,8pc Tender Meal for 2,2,0,0
32,12,0,2,0,6,0,8,2024-03-21,Game Night Bundle,2,0,0
40,0,0,0,0,0,0,6,2024-03-21,20 Wings,2,0,0
50,0,0,2,2,4,0,4,2024-03-21,50pc Party Pack,1,0,0
0,9,3,0,0,3,3,3,2024-03-21,3pc Tender Combo,3,0,0
16,0,2,0,0,2,2,4,2024-03-21,8pc Wing Combo,2,0,0
150,0,0,6,6,12,0,12,2024-03-21,50pc Party Pack,3,0,0
60,0,0,0,0,0,0,9,2024-03-21,20 Wings,3,0,0
6,0,1,0,0,1,1,2,2024-03-21,6pc Wing Combo,1,0,0
15,0,0,0,0,0,0,2,2024-03-21,15 Wings,1,0,0
45,0,0,3,3,6,6,6,2024-03-21,15pc Meal for 2,3,0,0
40,0,0,0,0,0,0,6,2024-03-21,20 Wings,2,0,0
60,0,0,0,0,0,0,6,2024-03-21,30 Wings,2,0,0
0,8,0,1,1,2,2,2,2024-03-21,8pc Tender Meal for 2,1,0,0
0,8,0,1,1,2,2,2,2024-03-21,8pc Tender Meal for 2,1,0,0
30,0,0,1,1,3,0,3,2024-03-21,30pc Crew Pack,1,0,0
15,0,0,0,0,0,0,2,2024-03-21,15 Wings,1,0,0
75,0,0,0,0,0,0,5,2024-03-21,75 Wings,1,0,0
10,0,0,0,0,0,0,2,2024-03-21,10 Wings,1,0,0
0,5,1,0,0,1,1,1,2024-03-21,5pc Tender Combo,1,0,0
0,10,2,0,0,2,2,2,2024-03-21,5pc Tender Combo,2,0,0
15,0,0,0,0,0,0,2,2024-03-21,15 Wings,1,0,0
0,3,1,0,0,1,1,1,2024-03-21,3pc Tender Combo,1,0,0
20,0,0,0,0,0,0,4,2024-03-21,10 Wings,2,0,0
200,0,0,8,8,16,0,12,2024-03-21,100pc Pack,2,0,0
18,0,3,0,0,3,3,6,2024-03-21,6pc Wing Combo,3,0,0
24,0,0,1,1,3,0,3,2024-03-21,24pc Family Pack,1,0,0
30,0,0,1,1,3,0,3,2024-03-21,30pc Crew Pack,1,0,0
8,0,1,0,0,1,1,2,2024-03-21,8pc Wing Combo,1,0,0
6,0,1,0,0,1,1,2,2024-03-21,6pc Wing Combo,1,0,0
0,9,3,0,0,3,3,3,2024-03-21,3pc Tender Combo,3,0,0
12,0,2,0,0,2,2,4,2024-03-21,6pc Wing Combo,2,0,0
30,0,0,2,2,4,4,4,2024-03-21,15pc Meal for 2,2,0,0
0,16,0,1,1,3,0,3,2024-03-21,16pc Tender Pack,1,0,0
75,0,0,0,0,0,0,5,2024-03-21,75 Wings,1,0,0
0,16,0,1,1,3,0,3,2024-03-21,16pc Tender Pack,1,0,0
48,18,0,3,0,9,0,12,2024-03-21,Game Night Bundle,3,0,0
0,24,0,3,3,6,6,6,2024-03-21,8pc Tender Meal for 2,3,0,0
30,0,0,2,2,4,4,4,2024-03-21,15pc Meal for 2,2,0,0
0,8,0,1,1,2,2,2,2024-03-21,8pc Tender Meal for 2,1,0,0
72,0,0,3,3,9,0,9,2024-03-22,24pc Family Pack,3,0,0
20,0,2,0,0,2,2,4,2024-03-22,10pc Wing Combo,2,0,0
90,0,0,3,3,9,0,9,2024-03-22,30pc Crew Pack,3,0,0
6,0,1,0,0,1,1,2,2024-03-22,6pc Wing Combo,1,0,0
8,0,1,0,0,1,1,2,2024-03-22,8pc Wing Combo,1,0,0
90,0,0,3,3,9,0,9,2024-03-22,30pc Crew Pack,3,0,0
0,24,0,2,2,4,0,4,2024-03-22,24pc Tender Pack,1,0,0
20,0,0,0,0,0,0,3,2024-03-22,20 Wings,1,0,0
0,24,0,3,3,6,6,6,2024-03-22,8pc Tender Meal for 2,3,0,0
6,0,1,0,0,1,1,2,2024-03-22,6pc Wing Combo,1,0,0
0,16,0,2,2,4,4,4,2024-03-22,8pc Tender Meal for 2,2,0,0
0,15,3,0,0,3,3,3,2024-03-22,5pc Tender Combo,3,0,0
20,0,0,0,0,0,0,4,2024-03-22,10 Wings,2,0,0
10,0,0,0,0,0,0,2,2024-03-22,10 Wings,1,0,0
15,0,0,0,0,0,0,2,2024-03-22,15 Wings,1,0,0
90,0,0,3,3,9,0,9,2024-03-22,30pc Crew Pack,3,0,0
0,8,0,1,1,2,2,2,2024-03-22,8pc Tender Meal for 2,1,0,0
30,0,3,0,0,3,3,6,2024-03-22,10pc Wing Combo,3,0,0
48,18,0,3,0,9,0,12,2024-03-22,Game Night Bundle,3,0,0
24,0,3,0,0,3,3,6,2024-03-22,8pc Wing Combo,3,0,0
18,0,3,0,0,3,3,6,2024-03-22,6pc Wing Combo,3,0,0
24,0,3,0,0,3,3,6,2024-03-22,8pc Wing Combo,3,0,0
20,0,0,0,0,0,0,4,2024-03-22,10 Wings,2,0,0
90,0,0,3,3,9,0,9,2024-03-22,30pc Crew Pack,3,0,0
60,0,0,2,2,6,0,6,2024-03-22,30pc Crew Pack,2,0,0
50,0,0,0,0,0,0,4,2024-03-22,50 Wings,1,0,0
90,0,0,0,0,0,0,9,2024-03-22,30 Wings,3,0,0
15,0,0,1,1,2,2,2,2024-03-22,15pc Meal for 2,1,0,0
30,0,3,0,0,3,3,6,2024-03-22,10pc Wing Combo,3,0,0
30,0,0,0,0,0,0,4,2024-03-22,15 Wings,2,0,0
40,0,0,0,0,0,0,6,2024-03-22,20 Wings,2,0,0
0,6,2,0,0,2,2,2,2024-03-22,3pc Tender Combo,2,0,0
0,5,1,0,0,1,1,1,2024-03-22,5pc Tender Combo,1,0,0
30,0,3,0,0,3,3,6,2024-03-22,10pc Wing Combo,3,0,0
10,0,0,0,0,0,0,2,2024-03-22,10 Wings,1,0,0
0,10,2,0,0,2,2,2,2024-03-22,5pc Tender Combo,2,0,0
75,0,0,3,3,6,0,5,2024-03-22,75pc Pack,1,0,0
12,0,2,0,0,2,2,4,2024-03-22,6pc Wing Combo,2,0,0
40,0,0,0,0,0,0,6,2024-03-22,20 Wings,2,0,0
0,10,2,0,0,2,2,2,2024-03-22,5pc Tender Combo,2,0,0
60,0,0,0,0,0,0,6,2024-03-23,30 Wings,2,0,1
30,0,0,1,1,3,0,3,2024-03-23,30pc Crew Pack,1,0,1
0,6,2,0,0,2,2,2,2024-03-23,3pc Tender Combo,2,0,1
20,0,0,0,0,0,0,4,2024-03-23,10 Wings,2,0,1
0,9,3,0,0,3,3,3,2024-03-23,3pc Tender Combo,3,0,1
100,0,0,0,0,0,0,8,2024-03-23,50 Wings,2,0,1
0,15,3,0,0,3,3,3,2024-03-23,5pc Tender Combo,3,0,1
0,6,2,0,0,2,2,2,2024-03-23,3pc Tender Combo,2,0,1
6,0,1,0,0,1,1,2,2024-03-23,6pc Wing Combo,1,0,1
30,0,0,1,1,3,0,3,2024-03-23,30pc Crew Pack,1,0,1
45,0,0,3,3,6,6,6,2024-03-23,15pc Meal for 2,3,0,1
0,48,0,3,3,9,0,9,2024-03-23,16pc Tender Pack,3,0,1
20,0,2,0,0,2,2,4,2024-03-23,10pc Wing Combo,2,0,1
20,0,2,0,0,2,2,4,2024-03-23,10pc Wing Combo,2,0,1
8,0,1,0,0,1,1,2,2024-03-23,8pc Wing Combo,1,0,1
16,0,2,0,0,2,2,4,2024-03-23,8pc Wing Combo,2,0,1
15,0,0,1,1,2,2,2,2024-03-23,15pc Meal for 2,1,0,1
60,0,0,0,0,0,0,9,2024-03-23,20 Wings,3,0,1
20,0,0,0,0,0,0,4,2024-03-23,10 Wings,2,0,1
0,48,0,3,3,9,0,9,2024-03-23,16pc Tender Pack,3,0,1
20,0,0,0,0,0,0,4,2024-03-23,10 Wings,2,0,1
10,0,1,0,0,1,1,2,2024-03-23,10pc Wing Combo,1,0,1
60,0,0,0,0,0,0,9,2024-03-23,20 Wings,3,0,1
24,0,3,0,0,3,3,6,2024-03-23,8pc Wing Combo,3,0,1
30,0,0,2,2,4,4,4,2024-03-23,15pc Meal for 2,2,0,1
0,9,3,0,0,3,3,3,2024-03-23,3pc Tender Combo,3,0,1
6,0,1,0,0,1,1,2,2024-03-23,6pc Wing Combo,1,0,1
0,48,0,3,3,9,0,9,2024-03-23,16pc Tender Pack,3,0,1
72,0,0,3,3,9,0,9,2024-03-23,24pc Family Pack,3,0,1
20,0,0,0,0,0,0,4,2024-03-23,10 Wings,2,0,1
225,0,0,9,9,18,0,15,2024-03-23,75pc Pack,3,0,1
16,0,2,0,0,2,2,4,2024-03-23,8pc Wing Combo,2,0,1
0,32,0,2,2,6,0,6,2024-03-23,16pc Tender Pack,2,0,1
30,0,3,0,0,3,3,6,2024-03-23,10pc Wing Combo,3,0,1
75,0,0,3,3,6,0,5,2024-03-23,75pc Pack,1,0,1
12,0,2,0,0,2,2,4,2024-03-23,6pc Wing Combo,2,0,1
0,15,3,0,0,3,3,3,2024-03-23,5pc Tender Combo,3,0,1
0,16,0,2,2,4,4,4,2024-03-23,8pc Tender Meal for 2,2,0,1
24,0,0,1,1,3,0,3,2024-03-23,24pc Family Pack,1,0,1
50,0,0,0,0,0,0,4,2024-03-23,50 Wings,1,0,1
30,0,0,0,0,0,0,4,2024-03-23,15 Wings,2,0,1
0,8,0,1,1,2,2,2,2024-03-23,8pc Tender Meal for 2,1,0,1
0,24,0,3,3,6,6,6,2024-03-23,8pc Tender Meal for 2,3,0,1
30,0,3,0,0,3,3,6,2024-03-23,10pc Wing Combo,3,0,1
0,10,2,0,0,2,2,2,2024-03-23,5pc Tender Combo,2,0,1
8,0,1,0,0,1,1,2,2024-03-23,8pc Wing Combo,1,0,1
24,0,3,0,0,3,3,6,2024-03-23,8pc Wing Combo,3,0,1
48,18,0,3,0,9,0,12,2024-03-23,Game Night Bundle,3,0,1
0,15,3,0,0,3,3,3,2024-03-23,5pc Tender Combo,3,0,1
60,0,0,2,2,6,0,6,2024-03-23,30pc Crew Pack,2,0,1
20,0,2,0,0,2,2,4,2024-03-23,10pc Wing Combo,2,0,1
0,15,3,0,0,3,3,3,2024-03-23,5pc Tender Combo,3,0,1
18,0,3,0,0,3,3,6,2024-03-23,6pc Wing Combo,3,0,1
0,8,0,1,1,2,2,2,2024-03-24,8pc Tender Meal for 2,1,0,1
30,0,3,0,0,3,3,6,2024-03-24,10pc Wing Combo,3,0,1
48,0,0,2,2,6,0,6,2024-03-24,24pc Family Pack,2,0,1
30,0,0,1,1,3,0,3,2024-03-24,30pc Crew Pack,1,0,1
20,0,0,0,0,0,0,3,2024-03-24,20 Wings,1,0,1
60,0,0,2,2,6,0,6,2024-03-24,30pc Crew Pack,2,0,1
8,0,1,0,0,1,1,2,2024-03-24,8pc Wing Combo,1,0,1
0,3,1,0,0,1,1,1,2024-03-24,3pc Tender Combo,1,0,1
150,0,0,0,0,0,0,10,2024-03-24,75 Wings,2,0,1
0,5,1,0,0,1,1,1,2024-03-24,5pc Tender Combo,1,0,1
16,6,0,1,0,3,0,4,2024-03-24,Game Night Bundle,1,0,1
30,0,0,0,0,0,0,4,2024-03-24,15 Wings,2,0,1
18,0,3,0,0,3,3,6,2024-03-24,6pc Wing Combo,3,0,1
0,10,2,0,0,2,2,2,2024-03-24,5pc Tender Combo,2,0,1
10,0,1,0,0,1,1,2,2024-03-24,10pc Wing Combo,1,0,1
0,6,2,0,0,2,2,2,2024-03-24,3pc Tender Combo,2,0,1
10,0,1,0,0,1,1,2,2024-03-24,10pc Wing Combo,1,0,1
15,0,0,1,1,2,2,2,2024-03-24,15pc Meal for 2,1,0,1
60,0,0,0,0,0,0,6,2024-03-24,30 Wings,2,0,1
10,0,1,0,0,1,1,2,2024-03-24,10pc Wing Combo,1,0,1
45,0,0,0,0,0,0,6,2024-03-24,15 Wings,3,0,1
6,0,1,0,0,1,1,2,2024-03-24,6pc Wing Combo,1,0,1
12,0,2,0,0,2,2,4,2024-03-24,6pc Wing Combo,2,0,1
45,0,0,0,0,0,0,6,2024-03-24,15 Wings,3,0,1
0,15,3,0,0,3,3,3,2024-03-24,5pc Tender Combo,3,0,1
0,16,0,1,1,3,0,3,2024-03-24,16pc Tender Pack,1,0,1
20,0,2,0,0,2,2,4,2024-03-24,10pc Wing Combo,2,0,1
0,3,1,0,0,1,1,1,2024-03-24,3pc Tender Combo,1,0,1
0,16,0,1,1,3,0,3,2024-03-24,16pc Tender Pack,1,0,1
0,10,2,0,0,2,2,2,2024-03-24,5pc Tender Combo,2,0,1
100,0,0,4,4,8,0,8,2024-03-24,50pc Party Pack,2,0,1
50,0,0,0,0,0,0,4,2024-03-24,50 Wings,1,0,1
0,24,0,3,3,6,6,6,2024-03-24,8pc Tender Meal for 2,3,0,1
20,0,0,0,0,0,0,3,2024-03-24,20 Wings,1,0,1
0,48,0,3,3,9,0,9,2024-03-24,16pc Tender Pack,3,0,1
0,16,0,1,1,3,0,3,2024-03-24,16pc Tender Pack,1,0,1
12,0,2,0,0,2,2,4,2024-03-24,6pc Wing Combo,2,0,1
72,0,0,3,3,9,0,9,2024-03-24,24pc Family Pack,3,0,1
30,0,0,0,0,0,0,4,2024-03-24,15 Wings,2,0,1
20,0,2,0,0,2,2,4,2024-03-24,10pc Wing Combo,2,0,1
16,0,2,0,0,2,2,4,2024-03-24,8pc Wing Combo,2,0,1
30,0,0,2,2,4,4,4,2024-03-24,15pc Meal for 2,2,0,1
20,0,2,0,0,2,2,4,2024-03-24,10pc Wing Combo,2,0,1
30,0,0,0,0,0,0,3,2024-03-24,30 Wings,1,0,1
45,0,0,0,0,0,0,6,2024-03-24,15 Wings,3,0,1
75,0,0,3,3,6,0,5,2024-03-24,75pc Pack,1,0,1
6,0,1,0,0,1,1,2,2024-03-24,6pc Wing Combo,1,0,1
0,8,0,1,1,2,2,2,2024-03-24,8pc Tender Meal for 2,1,0,1
0,10,2,0,0,2,2,2,2024-03-24,5pc Tender Combo,2,0,1
75,0,0,0,0,0,0,5,2024-03-24,75 Wings,1,0,1
0,9,3,0,0,3,3,3,2024-03-24,3pc Tender Combo,3,0,1
15,0,0,1,1,2,2,2,2024-03-24,15pc Meal for 2,1,0,1
0,6,2,0,0,2,2,2,2024-03-24,3pc Tender Combo,2,0,1
48,18,0,3,0,9,0,12,2024-03-24,Game Night Bundle,3,0,1
0,24,0,3,3,6,6,6,2024-03-24,8pc Tender Meal for 2,3,0,1
0,24,0,3,3,6,6,6,2024-03-24,8pc Tender Meal for 2,3,0,1
30,0,3,0,0,3,3,6,2024-03-24,10pc Wing Combo,3,0,1
0,16,0,1,1,3,0,3,2024-03-24,16pc Tender Pack,1,0,1
0,48,0,4,4,8,0,8,2024-03-24,24pc Tender Pack,2,0,1
45,0,0,3,3,6,6,6,2024-03-24,15pc Meal for 2,3,0,1
150,0,0,6,6,12,0,12,2024-03-24,50pc Party Pack,3,0,1
30,0,0,2,2,4,4,4,2024-03-24,15pc Meal for 2,2,0,1
10,0,1,0,0,1,1,2,2024-03-24,10pc Wing Combo,1,0,1
18,0,3,0,0,3,3,6,2024-03-24,6pc Wing Combo,3,0,1
10,0,1,0,0,1,1,2,2024-03-24,10pc Wing Combo,1,0,1
20,0,2,0,0,2,2,4,2024-03-25,10pc Wing Combo,2,0,0
0,3,1,0,0,1,1,1,2024-03-25,3pc Tender Combo,1,0,0
100,0,0,4,4,8,0,8,2024-03-25,50pc Party Pack,2,0,0
20,0,2,0,0,2,2,4,2024-03-25,10pc Wing Combo,2,0,0
30,0,0,0,0,0,0,6,2024-03-25,10 Wings,3,0,0
40,0,0,0,0,0,0,6,2024-03-25,20 Wings,2,0,0
30,0,0,0,0,0,0,6,2024-03-25,10 Wings,3,0,0
16,0,2,0,0,2,2,4,2024-03-25,8pc Wing Combo,2,0,0
12,0,2,0,0,2,2,4,2024-03-25,6pc Wing Combo,2,0,0
0,10,2,0,0,2,2,2,2024-03-25,5pc Tender Combo,2,0,0
6,0,1,0,0,1,1,2,2024-03-25,6pc Wing Combo,1,0,0
0,24,0,3,3,6,6,6,2024-03-25,8pc Tender Meal for 2,3,0,0
0,3,1,0,0,1,1,1,2024-03-25,3pc Tender Combo,1,0,0
0,16,0,2,2,4,4,4,2024-03-25,8pc Tender Meal for 2,2,0,0
0,3,1,0,0,1,1,1,2024-03-25,3pc Tender Combo,1,0,0
90,0,0,3,3,9,0,9,2024-03-25,30pc Crew Pack,3,0,0
20,0,2,0,0,2,2,4,2024-03-25,10pc Wing Combo,2,0,0
15,0,0,1,1,2,2,2,2024-03-25,15pc Meal for 2,1,0,0
0,3,1,0,0,1,1,1,2024-03-25,3pc Tender Combo,1,0,0
0,15,3,0,0,3,3,3,2024-03-25,5pc Tender Combo,3,0,0
10,0,0,0,0,0,0,2,2024-03-25,10 Wings,1,0,0
0,72,0,6,6,12,0,12,2024-03-25,24pc Tender Pack,3,0,0
200,0,0,0,0,0,0,12,2024-03-25,100 Wings,2,0,0
20,0,2,0,0,2,2,4,2024-03-25,10pc Wing Combo,2,0,0
6,0,1,0,0,1,1,2,2024-03-25,6pc Wing Combo,1,0,0
30,0,0,2,2,4,4,4,2024-03-25,15pc Meal for 2,2,0,0
0,32,0,2,2,6,0,6,2024-03-25,16pc Tender Pack,2,0,0
30,0,0,1,1,3,0,3,2024-03-25,30pc Crew Pack,1,0,0
20,0,0,0,0,0,0,4,2024-03-25,10 Wings,2,0,0
0,3,1,0,0,1,1,1,2024-03-25,3pc Tender Combo,1,0,0
90,0,0,0,0,0,0,9,2024-03-25,30 Wings,3,0,0
150,0,0,0,0,0,0,12,2024-03-25,50 Wings,3,0,0
18,0,3,0,0,3,3,6,2024-03-25,6pc Wing Combo,3,0,0
50,0,0,2,2,4,0,4,2024-03-25,50pc Party Pack,1,0,0
0,5,1,0,0,1,1,1,2024-03-25,5pc Tender Combo,1,0,0
20,0,2,0,0,2,2,4,2024-03-25,10pc Wing Combo,2,0,0
48,0,0,2,2,6,0,6,2024-03-25,24pc Family Pack,2,0,0
0,16,0,2,2,4,4,4,2024-03-25,8pc Tender Meal for 2,2,0,0
20,0,2,0,0,2,2,4,2024-03-25,10pc Wing Combo,2,0,0
0,10,2,0,0,2,2,2,2024-03-25,5pc Tender Combo,2,0,0
0,8,0,1,1,2,2,2,2024-03-25,8pc Tender Meal for 2,1,0,0
6,0,1,0,0,1,1,2,2024-03-25,6pc Wing Combo,1,0,0
225,0,0,9,9,18,0,15,2024-03-25,75pc Pack,3,0,0
30,0,3,0,0,3,3,6,2024-03-25,10pc Wing Combo,3,0,0
0,48,0,3,3,9,0,9,2024-03-25,16pc Tender Pack,3,0,0
24,0,3,0,0,3,3,6,2024-03-25,8pc Wing Combo,3,0,0
20,0,0,0,0,0,0,3,2024-03-25,20 Wings,1,0,0
30,0,0,1,1,3,0,3,2024-03-25,30pc Crew Pack,1,0,0
8,0,1,0,0,1,1,2,2024-03-25,8pc Wing Combo,1,0,0
30,0,0,2,2,4,4,4,2024-03-26,15pc Meal for 2,2,0,0
0,8,0,1,1,2,2,2,2024-03-26,8pc Tender Meal for 2,1,0,0
10,0,1,0,0,1,1,2,2024-03-26,10pc Wing Combo,1,0,0
10,0,0,0,0,0,0,2,2024-03-26,10 Wings,1,0,0
20,0,0,0,0,0,0,4,2024-03-26,10 Wings,2,0,0
60,0,0,2,2,6,0,6,2024-03-26,30pc Crew Pack,2,0,0
20,0,2,0,0,2,2,4,2024-03-26,10pc Wing Combo,2,0,0
10,0,1,0,0,1,1,2,2024-03-26,10pc Wing Combo,1,0,0
50,0,0,2,2,4,0,4,2024-03-26,50pc Party Pack,1,0,0
0,16,0,1,1,3,0,3,2024-03-26,16pc Tender Pack,1,0,0
48,0,0,2,2,6,0,6,2024-03-26,24pc Family Pack,2,0,0
